district,attraction,style,budget,travel_route,weather
Darchula,Byas Gaun,adventure,3416.29,Darchula to Bajura,cold
Myagdi,Dhaulagiri,adventure,1377.12,,rainy
Taplejung,Kanchenjunga Base Camp,adventure,3460.33,Taplejung to Panchthar,sunny
Parsa,Parsa Wildlife Reserve,adventure,1217.95,Parsa to Bara to Makwanpur to Chitwan,sunny
Chitwan,Jungle Safari,adventure,2157.7,,warm
Gulmi,Resunga Hills,adventure,3098.62,,sunny
Banke,Bardiya National Park,adventure,1123.69,,warm
Bardiya,Bardiya National Park,adventure,2472.33,,rainy
Gulmi,Resunga Hills,adventure,3323.71,Gulmi to Pyuthan,sunny
Taplejung,Kanchenjunga Base Camp,adventure,2613.56,,sunny
Sankhuwasabha,Makalu Barun National Park,adventure,825.15,,warm
Langtang,Langtang National Park,adventure,2251.61,,warm
Sindhupalchok,Helambu,adventure,3174.03,,sunny
Rasuwa,Helambu Trek,adventure,2451.53,Rasuwa to Sindhupalchok,any
Rasuwa,Helambu Trek,adventure,3315.74,Rasuwa to Langtang to Nuwakot,sunny
Rukum West,Jumla,adventure,1535.34,Rukum West to Jajarkot,warm
Darchula,Byas Gaun,adventure,2164.6,Darchula to Bajhang,sunny
Darchula,Byas Gaun,adventure,3039.24,,sunny
Rukum,Rukumkot,adventure,1236.27,Rukum,rainy
Kaski,Sarangkot,adventure,1003.16,Kaski to Lamjung to Gorkha to Syangja,warm
Parsa,Parsa Wildlife Reserve,adventure,912.94,Parsa to Makwanpur,sunny
Dhading,Gajuri,adventure,2600.72,,sunny
Parsa,Parsa Wildlife Reserve,adventure,3299.56,,sunny
Solukhumbu,Everest Base Camp,adventure,866.92,,warm
Parsa,Parsa Wildlife Reserve,adventure,1520.38,,warm
Chitwan,Jungle Safari,adventure,1400.57,,warm
Jumla,Rara Lake,adventure,1401.89,,warm
Dolpa,Shey Phoksundo Lake,adventure,3410.6,,sunny
Taplejung,Kanchenjunga Base Camp,adventure,3335.94,Taplejung to Panchthar,sunny
Chitwan,Chitwan National Park,adventure,2410.74,Chitwan to Makwanpur to Lalitpur,sunny
Udayapur,Saptakoshi River,adventure,1487.75,,warm
Rasuwa,Langtang National Park,adventure,1783.4,Rasuwa to Sindhupalchok to Langtang,sunny
Kanchanpur,Shuklaphanta National Park,adventure,2743.34,,sunny
Parsa,Parsa Wildlife Reserve,adventure,1886.48,,sunny
Parsa,Parsa Wildlife Reserve,adventure,2628.76,,cold
Jumla,Rara Lake,adventure,2279.43,,sunny
Parsa,Parsa Wildlife Reserve,adventure,2055.47,,rainy
Myagdi,Annapurna Base Camp,adventure,2578.9,Myagdi to Baglung,sunny
Mustang,Lo Manthang,adventure,2616.55,,sunny
Kaski,Sarangkot,adventure,1461.07,Kaski to Myagdi,rainy
Parsa,Parsa Wildlife Reserve,adventure,2739.53,,sunny
Rukum,Rukumkot,adventure,3210.18,Rukum,warm
Banke,Bardiya National Park,adventure,2971.1,,warm
Rasuwa,Langtang National Park,adventure,3277.17,,sunny
Dolakha,Kalinchowk Bhagwati Temple,adventure,3365.11,,warm
Rukum West,Jumla,adventure,3042.54,Rukum West to Salyan,warm
Dolakha,Kalinchowk Bhagwati Temple,adventure,2829.8,,warm
Sankhuwasabha,Makalu Barun National Park,adventure,2492.22,,sunny
Jumla,Rara Lake,adventure,1533.63,,sunny
Rukum,Rukumkot,adventure,1424.41,Rukum,warm
Parsa,Parsa Wildlife Reserve,adventure,1693.38,,rainy
Parsa,Parsa Wildlife Reserve,adventure,3243.06,Parsa to Makwanpur to Lalitpur to Kathmandu,warm
Sindhupalchok,Helambu,adventure,2834.38,Sindhupalchok to Dolakha to Kavrepalanchok,warm
Rukum West,Jumla,adventure,2118.22,,sunny
Taplejung,Kanchenjunga Base Camp,adventure,2605.96,Taplejung to Morang,warm
Bardiya,Bardiya National Park,adventure,3248.71,Bardiya to Surkhet,warm
Rukum,Rukumkot,adventure,1290.67,,sunny
Dolakha,Kalinchowk Bhagwati Temple,adventure,1711.25,,warm
Parsa,Parsa Wildlife Reserve,adventure,3054.26,Parsa to Makwanpur,rainy
Banke,Bardiya National Park,adventure,2909.33,Banke to Surkhet,warm
Kaski,Sarangkot,adventure,1444.07,,rainy
Dhading,Ganesh Himal,adventure,2688.56,,warm
Bardiya,Bardiya National Park,adventure,2900.04,,sunny
Udayapur,Saptakoshi River,adventure,3308.0,Udayapur to Khotang,warm
Rukum East,Salla Pani,adventure,1005.19,,warm
Langtang,Gosaikunda Lake,adventure,3095.79,,warm
Udayapur,Saptakoshi River,adventure,1737.45,,rainy
Gulmi,Resunga Hills,adventure,834.16,,rainy
Parsa,Parsa Wildlife Reserve,adventure,2516.08,Parsa to Bara to Makwanpur,warm
Bardiya,Bardiya National Park,adventure,2055.16,,warm
Nuwakot,Trishuli River,adventure,3042.97,Nuwakot to Sindhupalchok,sunny
Udayapur,Saptakoshi River,adventure,1708.27,,rainy
Myagdi,Annapurna Base Camp,adventure,1758.03,,sunny
Bardiya,Bardiya National Park,adventure,2300.64,,warm
Banke,Bardiya National Park,adventure,2119.16,Banke to Salyan,warm
Dolakha,Kalinchowk Bhagwati Temple,adventure,1051.24,Dolakha to Sindhuli to Sarlahi,sunny
Rasuwa,Helambu Trek,adventure,1948.86,,warm
Rukum East,Salla Pani,adventure,1531.47,,sunny
Dhading,Ganesh Himal,adventure,1122.8,Dhading to Chitwan,warm
Dhading,Ganesh Himal,adventure,1546.55,Dhading to Gorkha to Lamjung to Tanahun,warm
Jumla,Rara Lake,adventure,1774.38,Jumla to Kalikot,sunny
Chitwan,Chitwan National Park,adventure,2294.07,,warm
Sankhuwasabha,Makalu Barun National Park,adventure,1076.99,,sunny
Myagdi,Dhaulagiri,adventure,1719.91,,any
Myagdi,Annapurna Base Camp,adventure,3019.71,,rainy
Darchula,Byas Gaun,adventure,1209.66,Darchula to Bajhang,warm
Langtang,Gosaikunda Lake,adventure,2437.06,,warm
Gulmi,Resunga Hills,adventure,2016.39,Gulmi to Pyuthan,rainy
Udayapur,Saptakoshi River,adventure,2446.0,Udayapur to Dhankuta,warm
Dolpa,Shey Phoksundo Lake,adventure,1224.05,,sunny
Kaski,Sarangkot,adventure,2016.36,,warm
Banke,Bardiya National Park,adventure,2708.78,,warm
Kanchanpur,Shuklaphanta National Park,adventure,3294.56,,warm
Kanchanpur,Shuklaphanta National Park,adventure,1947.88,,warm
Dolpa,Shey Phoksundo Lake,adventure,992.81,,sunny
Rukum West,Jumla,adventure,1985.71,,rainy
Taplejung,Kanchenjunga Base Camp,adventure,2151.27,,rainy
Chitwan,Jungle Safari,adventure,2783.24,,warm
Banke,Bardiya National Park,adventure,3498.85,,warm
Chitwan,Chitwan National Park,adventure,2070.35,Chitwan to Dhading,warm
Darchula,Byas Gaun,adventure,3416.45,,rainy
Nuwakot,Trishuli River,adventure,3115.88,Nuwakot to Sindhupalchok to Kavrepalanchok,sunny
Chitwan,Jungle Safari,adventure,1037.76,,sunny
Sankhuwasabha,Makalu Barun National Park,adventure,3135.26,,warm
Rasuwa,Helambu Trek,adventure,1915.77,,sunny
Sankhuwasabha,Makalu Barun National Park,adventure,2488.6,,warm
Rasuwa,Langtang National Park,adventure,3304.72,Rasuwa to Langtang,rainy
Darchula,Byas Gaun,adventure,2716.41,,sunny
Parsa,Parsa Wildlife Reserve,adventure,1406.69,,warm
Langtang,Langtang National Park,adventure,2145.61,,warm
Dolpa,Phoksundo National Park,adventure,3053.75,,any
Rasuwa,Langtang National Park,adventure,1835.68,,cold
Rukum,Rukumkot,adventure,1545.87,,warm
Gulmi,Resunga Hills,adventure,3015.48,,sunny
Udayapur,Saptakoshi River,adventure,3136.2,,rainy
Nuwakot,Trishuli River,adventure,2029.43,,sunny
Rukum East,Salla Pani,adventure,2343.85,Rukum East to Rolpa,sunny
Rukum West,Jumla,adventure,2704.12,,warm
Kanchanpur,Shuklaphanta National Park,adventure,2137.39,,sunny
Udayapur,Saptakoshi River,adventure,3148.19,,warm
Gulmi,Resunga Hills,adventure,841.44,Gulmi to Palpa,sunny
Myagdi,Dhaulagiri,adventure,1714.12,,warm
Nuwakot,Trishuli River,adventure,3376.18,Nuwakot to Kathmandu to Lalitpur,warm
Banke,Bardiya National Park,adventure,3493.05,,warm
Langtang,Langtang National Park,adventure,1997.93,Langtang to Dhading,warm
Chitwan,Jungle Safari,adventure,1767.85,,rainy
Parsa,Parsa Wildlife Reserve,adventure,1258.96,Parsa to Bara to Makwanpur to Rautahat,sunny
Banke,Bardiya National Park,adventure,2522.34,Banke to Dang to Pyuthan,rainy
Rasuwa,Langtang National Park,adventure,999.43,Rasuwa to Sindhupalchok to Dolakha,cold
Rukum East,Salla Pani,adventure,2033.46,Rukum East to Jumla to Mugu,sunny
Taplejung,Kanchenjunga Base Camp,adventure,2351.99,,any
Kanchanpur,Shuklaphanta National Park,adventure,1541.1,Kanchanpur to Kailali to Darchula to Bajura,warm
Jumla,Rara Lake,adventure,2439.08,,sunny
Bardiya,Bardiya National Park,adventure,2629.96,Bardiya to Banke,warm
Darchula,Byas Gaun,adventure,1634.12,,rainy
Rukum West,Jumla,adventure,1043.36,Rukum West to Rolpa,sunny
Rukum,Rukumkot,adventure,2233.3,Rukum,cold
Myagdi,Dhaulagiri,adventure,2815.71,,sunny
Mustang,Lo Manthang,adventure,2836.21,Mustang to Dolpa to Rukum East to Jumla,sunny
Taplejung,Kanchenjunga Base Camp,adventure,1514.04,,sunny
Rukum West,Jumla,adventure,2378.31,Rukum West to Jajarkot,warm
Banke,Bardiya National Park,adventure,867.57,,warm
Bardiya,Bardiya National Park,adventure,2548.66,,warm
Rukum East,Salla Pani,adventure,2552.95,,sunny
Chitwan,Jungle Safari,adventure,3489.0,,sunny
Rasuwa,Langtang National Park,adventure,1849.34,Rasuwa to Sindhupalchok to Dolakha to Kavrepalanchok,sunny
Rukum West,Jumla,adventure,3190.62,Rukum West to Salyan,warm
Dolpa,Shey Phoksundo Lake,adventure,2663.76,,sunny
Banke,Bardiya National Park,adventure,1068.26,,warm
Darchula,Byas Gaun,adventure,963.49,Darchula to Bajhang to Doti,sunny
Darchula,Byas Gaun,adventure,936.56,Darchula to Bajhang to Doti to Kailali,sunny
Dhading,Gajuri,adventure,2995.24,Dhading to Kathmandu to Nuwakot to Rasuwa,sunny
Rukum,Rukumkot,adventure,2955.99,Rukum,sunny
Kaski,Sarangkot,adventure,2932.96,,sunny
Solukhumbu,Everest Base Camp,adventure,941.48,,warm
Rukum West,Jumla,adventure,2085.86,,warm
Langtang,Gosaikunda Lake,adventure,2160.36,,cold
Kanchanpur,Shuklaphanta National Park,adventure,2036.71,,any
Myagdi,Dhaulagiri,adventure,1950.94,Myagdi to Kaski to Lamjung,sunny
Nuwakot,Trishuli River,adventure,977.34,,sunny
Rasuwa,Helambu Trek,adventure,1828.44,,warm
Gulmi,Resunga Hills,adventure,1067.78,Gulmi to Arghakhanchi,warm
Parsa,Parsa Wildlife Reserve,adventure,3197.85,Parsa to Makwanpur to Chitwan,rainy
Nuwakot,Trishuli River,adventure,1643.81,Nuwakot to Sindhupalchok to Kathmandu to Lalitpur,sunny
Mustang,Lo Manthang,adventure,1966.07,,warm
Rukum,Rukumkot,adventure,2383.46,,warm
Langtang,Gosaikunda Lake,adventure,1754.71,Langtang to Rasuwa to Sindhupalchok to Bhaktapur,warm
Jumla,Rara Lake,adventure,1079.72,,warm
Myagdi,Annapurna Base Camp,adventure,3087.64,,sunny
Langtang,Gosaikunda Lake,adventure,2350.07,Langtang to Rasuwa to Sindhupalchok to Kathmandu,warm
Solukhumbu,Everest Base Camp,adventure,2697.29,,sunny
Kaski,Sarangkot,adventure,3148.63,,warm
Rukum,Rukumkot,adventure,1047.75,,warm
Dolakha,Kalinchowk Bhagwati Temple,adventure,1225.01,,sunny
Udayapur,Saptakoshi River,adventure,3185.02,Udayapur to Sunsari,sunny
Dolpa,Phoksundo National Park,adventure,2587.23,,rainy
Dolpa,Shey Phoksundo Lake,adventure,2838.35,,sunny
Jumla,Rara Lake,adventure,2222.72,,sunny
Bardiya,Bardiya National Park,adventure,820.76,,sunny
Rukum,Rukumkot,adventure,1581.51,,sunny
Parsa,Parsa Wildlife Reserve,adventure,1148.8,,warm
Rasuwa,Helambu Trek,adventure,994.6,,warm
Kaski,Sarangkot,adventure,3287.14,,warm
Udayapur,Saptakoshi River,adventure,2715.65,,rainy
Kaski,Sarangkot,adventure,1264.06,,cold
Rukum East,Salla Pani,adventure,1037.95,,warm
Udayapur,Saptakoshi River,adventure,2214.7,,sunny
Nuwakot,Trishuli River,adventure,1699.29,,sunny
Langtang,Langtang National Park,adventure,3245.99,Langtang to Nuwakot to Dhading to Kathmandu,sunny
Rukum,Rukumkot,adventure,1332.63,Rukum,warm
Mustang,Lo Manthang,adventure,3368.49,,warm
Udayapur,Saptakoshi River,adventure,2639.06,,warm
Bardiya,Bardiya National Park,adventure,3133.47,,warm
Mustang,Lo Manthang,adventure,1993.96,,sunny
Chitwan,Jungle Safari,adventure,2169.81,,sunny
Chitwan,Jungle Safari,adventure,3045.58,Chitwan to Dhading,sunny
Dolakha,Kalinchowk Bhagwati Temple,adventure,2014.28,Dolakha to Kavrepalanchok to Sindhuli,warm
Rukum,Rukumkot,adventure,2016.41,Rukum,warm
Mustang,Lo Manthang,adventure,905.68,Mustang to Jumla to Kalikot,warm
Sindhupalchok,Helambu,adventure,1846.02,Sindhupalchok to Bhaktapur,warm
Darchula,Byas Gaun,adventure,977.96,Darchula to Bajura to Doti,sunny
Kanchanpur,Shuklaphanta National Park,adventure,1700.08,,warm
Sindhupalchok,Helambu,adventure,3412.78,,warm
Bardiya,Bardiya National Park,adventure,1635.87,Bardiya to Banke,sunny
Darchula,Byas Gaun,adventure,2172.92,,sunny
Dhading,Ganesh Himal,adventure,3358.7,,rainy
Rukum,Rukumkot,adventure,1008.35,,warm
Sankhuwasabha,Makalu Barun National Park,adventure,2587.21,,warm
Bardiya,Bardiya National Park,adventure,1216.48,Bardiya to Banke to Jajarkot,sunny
Chitwan,Jungle Safari,adventure,1783.61,Chitwan to Gorkha to Dhading to Kathmandu,warm
Rasuwa,Langtang National Park,adventure,1635.56,,warm
Dhading,Ganesh Himal,adventure,2631.43,,warm
Sankhuwasabha,Makalu Barun National Park,adventure,2900.93,,warm
Solukhumbu,Everest Base Camp,adventure,2963.4,,sunny
Darchula,Byas Gaun,adventure,3160.12,,warm
Gulmi,Resunga Hills,adventure,1569.67,,warm
Gulmi,Resunga Hills,adventure,3043.83,Gulmi to Pyuthan,sunny
Kaski,Sarangkot,adventure,943.79,,warm
Mustang,Lo Manthang,adventure,1406.25,,sunny
Rukum East,Salla Pani,adventure,2936.73,,sunny
Myagdi,Annapurna Base Camp,adventure,2848.87,,rainy
Mustang,Lo Manthang,adventure,1490.99,,warm
Rukum West,Jumla,adventure,1100.2,,sunny
Chitwan,Chitwan National Park,adventure,1933.53,,warm
Langtang,Gosaikunda Lake,adventure,2411.2,,sunny
Banke,Bardiya National Park,adventure,1586.43,,sunny
Udayapur,Saptakoshi River,adventure,1305.75,,warm
Sindhupalchok,Helambu,adventure,3374.19,Sindhupalchok to Dolakha to Ramechhap to Udayapur,warm
Myagdi,Annapurna Base Camp,adventure,2516.31,,any
Kaski,Sarangkot,adventure,2929.0,Kaski to Lamjung to Gorkha to Syangja,sunny
Chitwan,Jungle Safari,adventure,2274.24,,warm
Sankhuwasabha,Makalu Barun National Park,adventure,3448.21,,rainy
Rukum,Rukumkot,adventure,2733.32,,cold
Dhading,Gajuri,adventure,2935.99,,warm
Jumla,Rara Lake,adventure,3470.63,,warm
Sankhuwasabha,Makalu Barun National Park,adventure,1572.5,,warm
Darchula,Byas Gaun,adventure,1537.68,,warm
Taplejung,Kanchenjunga Base Camp,adventure,3215.52,Taplejung to Solukhumbu to Okhaldhunga,sunny
Gulmi,Resunga Hills,adventure,2963.1,,warm
Bardiya,Bardiya National Park,adventure,2272.78,,sunny
Kanchanpur,Shuklaphanta National Park,adventure,1627.54,,warm
Rukum East,Salla Pani,adventure,1749.18,Rukum East to Salyan,sunny
Parsa,Parsa Wildlife Reserve,adventure,2526.57,,warm
Kanchanpur,Shuklaphanta National Park,adventure,1780.94,Kanchanpur to Kailali,warm
Bardiya,Bardiya National Park,adventure,893.96,Bardiya to Surkhet,sunny
Taplejung,Kanchenjunga Base Camp,adventure,2433.76,Taplejung to Solukhumbu to Sankhuwasabha,warm
Udayapur,Saptakoshi River,adventure,2229.54,,sunny
Banke,Bardiya National Park,adventure,869.97,,sunny
Rasuwa,Langtang National Park,adventure,1506.8,,sunny
Bardiya,Bardiya National Park,adventure,2673.75,,any
Rukum,Rukumkot,adventure,2020.52,,warm
Mustang,Lo Manthang,adventure,2603.17,,warm
Jumla,Rara Lake,adventure,3098.68,Jumla to Mugu,warm
Sindhupalchok,Helambu,adventure,1127.68,,sunny
Myagdi,Annapurna Base Camp,adventure,1774.42,,warm
Rasuwa,Langtang National Park,adventure,2452.26,,sunny
Rukum East,Salla Pani,adventure,2219.38,Rukum East to Jumla,warm
Nuwakot,Trishuli River,adventure,2014.93,,warm
Sankhuwasabha,Makalu Barun National Park,adventure,2873.01,,sunny
Chitwan,Chitwan National Park,adventure,2198.88,,sunny
Rukum East,Salla Pani,adventure,1734.26,Rukum East to Rolpa,cold
Dhading,Ganesh Himal,adventure,1137.96,,sunny
Gulmi,Resunga Hills,adventure,2397.88,,warm
Bardiya,Bardiya National Park,adventure,3074.83,Bardiya to Banke,warm
Chitwan,Jungle Safari,adventure,2558.05,,warm
Darchula,Byas Gaun,adventure,2144.7,,warm
Jumla,Rara Lake,adventure,1461.17,,warm
Dolakha,Kalinchowk Bhagwati Temple,adventure,2659.26,,sunny
Dolakha,Kalinchowk Bhagwati Temple,adventure,1718.52,Dolakha to Sindhuli to Sarlahi,sunny
Rukum,Rukumkot,adventure,2190.45,,sunny
Langtang,Gosaikunda Lake,adventure,2013.91,,sunny
Taplejung,Kanchenjunga Base Camp,adventure,1470.33,,warm
Nuwakot,Trishuli River,adventure,1312.55,Nuwakot to Sindhupalchok to Langtang,sunny
Myagdi,Annapurna Base Camp,adventure,1043.13,,sunny
Banke,Bardiya National Park,adventure,2375.03,,sunny
Bardiya,Bardiya National Park,adventure,1571.52,,sunny
Rukum,Rukumkot,adventure,2764.27,,warm
Taplejung,Kanchenjunga Base Camp,adventure,2339.76,,sunny
Mustang,Lo Manthang,adventure,2161.49,,warm
Bardiya,Bardiya National Park,adventure,1147.39,,sunny
Nuwakot,Trishuli River,adventure,2838.41,,sunny
Gulmi,Resunga Hills,adventure,922.32,,sunny
Myagdi,Dhaulagiri,adventure,1202.14,,warm
Bardiya,Bardiya National Park,adventure,1238.76,Bardiya to Surkhet,any
Gulmi,Resunga Hills,adventure,2713.6,Gulmi to Pyuthan,sunny
Kanchanpur,Shuklaphanta National Park,adventure,3445.72,Kanchanpur to Kailali to Darchula to Bajura,warm
Dolpa,Shey Phoksundo Lake,adventure,2747.78,,warm
Darchula,Byas Gaun,adventure,1198.99,,warm
Rukum East,Salla Pani,adventure,1315.12,,rainy
Parsa,Parsa Wildlife Reserve,adventure,1908.02,Parsa to Bara to Rautahat to Dhanusha,warm
Dhading,Ganesh Himal,adventure,3494.93,,rainy
Solukhumbu,Everest Base Camp,adventure,3262.74,,sunny
Sankhuwasabha,Makalu Barun National Park,adventure,2447.21,,sunny
Rasuwa,Helambu Trek,adventure,1407.14,,any
Jumla,Rara Lake,adventure,2663.65,,rainy
Rasuwa,Helambu Trek,adventure,1577.03,,warm
Taplejung,Kanchenjunga Base Camp,adventure,3377.44,,warm
Jumla,Rara Lake,adventure,1735.18,,rainy
Myagdi,Annapurna Base Camp,adventure,1345.58,Myagdi to Baglung,warm
Rukum,Rukumkot,adventure,2462.33,,warm
Kanchanpur,Shuklaphanta National Park,adventure,2522.45,,sunny
Rukum East,Salla Pani,adventure,1071.47,,warm
Rasuwa,Langtang National Park,adventure,1898.65,Rasuwa to Sindhupalchok to Nuwakot,cold
Sankhuwasabha,Makalu Barun National Park,adventure,1667.15,Sankhuwasabha to Terhathum,warm
Banke,Bardiya National Park,adventure,3265.72,Banke to Bardiya,sunny
Taplejung,Kanchenjunga Base Camp,adventure,1303.04,Taplejung to Sankhuwasabha to Solukhumbu,warm
Jumla,Rara Lake,adventure,3306.83,,sunny
Darchula,Byas Gaun,adventure,3201.0,,sunny
Dolpa,Shey Phoksundo Lake,adventure,2983.8,Dolpa to Mustang to Myagdi to Parbat,sunny
Kaski,Sarangkot,adventure,2935.07,Kaski to Myagdi,warm
Parsa,Parsa Wildlife Reserve,adventure,1034.19,,warm
Rukum,Rukumkot,adventure,1673.72,,sunny
Banke,Bardiya National Park,adventure,2835.14,,any
Rukum West,Jumla,adventure,1506.19,,sunny
Kanchanpur,Shuklaphanta National Park,adventure,2056.57,Kanchanpur to Dadeldhura,sunny
Rukum East,Salla Pani,adventure,2524.52,,cold
Banke,Bardiya National Park,adventure,3384.87,,rainy
Bardiya,Bardiya National Park,adventure,1922.78,,warm
Rasuwa,Langtang National Park,adventure,2857.02,,warm
Mustang,Lo Manthang,adventure,2226.07,Mustang to Muktinath (Manang),sunny
Rasuwa,Langtang National Park,adventure,2346.29,,sunny
Gulmi,Resunga Hills,adventure,1113.85,,sunny
Mustang,Lo Manthang,adventure,2983.47,,rainy
Dolakha,Kalinchowk Bhagwati Temple,adventure,2308.75,,warm
Kaski,Sarangkot,adventure,1487.03,,sunny
Mustang,Lo Manthang,adventure,1943.98,,warm
Chitwan,Chitwan National Park,adventure,3462.57,,rainy
Solukhumbu,Everest Base Camp,adventure,2867.73,,any
Parsa,Parsa Wildlife Reserve,adventure,3480.71,Parsa to Makwanpur to Chitwan,sunny
Kanchanpur,Shuklaphanta National Park,adventure,2564.54,,sunny
Rasuwa,Helambu Trek,adventure,2227.87,,warm
Kaski,Sarangkot,adventure,3441.92,Kaski to Myagdi to Baglung,rainy
Banke,Bardiya National Park,adventure,1734.63,Banke to Bardiya to Surkhet,sunny
Kanchanpur,Shuklaphanta National Park,adventure,2460.29,Kanchanpur to Kailali,cold
Mustang,Lo Manthang,adventure,2403.65,Mustang to Jumla,rainy
Rukum West,Jumla,adventure,1886.12,,sunny
Sankhuwasabha,Makalu Barun National Park,adventure,1178.37,,any
Rukum West,Jumla,adventure,2359.18,Rukum West to Salyan,warm
Rukum,Rukumkot,adventure,1916.61,,sunny
Udayapur,Saptakoshi River,adventure,2490.18,,rainy
Sindhupalchok,Helambu,adventure,2921.67,,sunny
Rukum,Rukumkot,adventure,1816.44,,warm
Banke,Bardiya National Park,adventure,3115.36,,sunny
Chitwan,Jungle Safari,adventure,3413.02,,warm
Banke,Bardiya National Park,adventure,1349.01,Banke to Bardiya to Surkhet,warm
Chitwan,Jungle Safari,adventure,1818.35,,warm
Mustang,Lo Manthang,adventure,2972.56,Mustang to Dolpa,warm
Dhading,Ganesh Himal,adventure,1618.61,,cold
Dhading,Gajuri,adventure,2816.57,Dhading to Nuwakot to Sindhupalchok to Rasuwa,warm
Taplejung,Kanchenjunga Base Camp,adventure,2290.61,,warm
Rasuwa,Helambu Trek,adventure,1632.74,Rasuwa to Langtang to Sindhupalchok,sunny
Myagdi,Dhaulagiri,adventure,3268.69,,sunny
Udayapur,Saptakoshi River,adventure,2801.38,,sunny
Udayapur,Saptakoshi River,adventure,1597.02,,sunny
Udayapur,Saptakoshi River,adventure,2148.11,Udayapur to Khotang,warm
Rukum West,Jumla,adventure,2044.24,,warm
Rukum,Rukumkot,adventure,1296.93,Rukum,warm
Gulmi,Resunga Hills,adventure,3065.48,Gulmi to Palpa,sunny
Parsa,Parsa Wildlife Reserve,adventure,3074.87,Parsa to Bara,sunny
Gulmi,Resunga Hills,adventure,1807.64,Gulmi to Rolpa,warm
Kanchanpur,Shuklaphanta National Park,adventure,842.48,,warm
Kaski,Sarangkot,adventure,2246.49,,sunny
Rukum East,Salla Pani,adventure,2976.65,,cold
Langtang,Langtang National Park,adventure,1450.62,,warm
Sindhupalchok,Helambu,adventure,2946.33,Sindhupalchok to Dolakha to Ramechhap,sunny
Rukum East,Salla Pani,adventure,1609.93,,warm
Darchula,Byas Gaun,adventure,1052.45,,sunny
Chitwan,Chitwan National Park,adventure,2697.68,Chitwan to Gorkha to Lamjung to Kaski,sunny
Banke,Bardiya National Park,adventure,3233.44,,warm
Dolpa,Shey Phoksundo Lake,adventure,3295.23,,warm
Rasuwa,Langtang National Park,adventure,1284.26,,warm
Dhading,Gajuri,adventure,2831.09,,warm
Mustang,Lo Manthang,adventure,1238.62,Mustang to Myagdi to Manang,sunny
Sankhuwasabha,Makalu Barun National Park,adventure,2934.34,,warm
Rukum West,Jumla,adventure,944.98,Rukum West to Jajarkot,rainy
Sankhuwasabha,Makalu Barun National Park,adventure,3416.09,,sunny
Dolakha,Kalinchowk Bhagwati Temple,adventure,1415.97,,warm
Solukhumbu,Everest Base Camp,adventure,1031.37,Solukhumbu to Sankhuwasabha to Taplejung to Panchthar,warm
Rukum,Rukumkot,adventure,2721.53,Rukum,warm
Sindhupalchok,Helambu,adventure,1047.11,,cold
